count,hate_speech,offensive_language,neither,class,tweet
3,1,2,0,1,"RT @HENNERGIZED: &#128557;&#128557;&#128557;&#8220;@StopBeingSober: Yall say ""Why you dating lil girls"" like mature hoes just on a rampage outside.&#8221;"
3,0,3,0,1,We are back bitches! @vnpacheco21 @xoxoclaire_ @treyhunter_ @Medgmon @delaney_jade @sean_steezy @alexistiefa
3,0,3,0,1,"RT @SuperrrrMcNasty: Lmfao , this bitch was giving head in the back of a classroom she better go tf ahead !"
3,0,3,0,1,@bradley_eckman don't say shit like that lil nig .. Or I'll give you a &#127812; stamp
3,1,2,0,1,Young jezzy dat nigguh
3,0,3,0,1,"Same shit RT @Che_TheYello1: But your bm tho? ... ""@viaNAWF: If my ex wanna go fuck my enemy, may God be with her. Ain't my hoe no more."""
3,0,0,3,2,RT @SumGurl07: So cute! :) RT @iTweetFacts: Shy bunny... http://t.co/z4u6NpORdz
3,0,3,0,1,This bitch always got shit to say about what other people like
3,0,3,0,1,RT @drewbillionaire: I just wanna pimp these hoe$ &amp; Ride Rarri's
3,0,3,0,1,I heard them same pussy niggas hatin !
3,0,0,3,2,RT @michael4h2o: An #Ohio inmate sums up what #LeBronJames' return means for #Cleveland: http://t.co/a68mtZQOeL http://t.co/bMrzFWstVA #Leb&#8230;
3,0,3,0,1,"RT @OHHHME: I just want the money, ian trippin on these hoes"
3,1,2,0,1,"Y'all men need to watch these ""cream pies"" bitches be having yeast infections &amp; on a 7 day monistat treatment. Know the difference"
3,0,3,0,1,RT @smithmuffins: once at a gradeschool dance i tried to do the worm to impress this bitch and i slammed my dick on the unforgiving ceramic&#8230;
3,0,0,3,2,"Perhaps I'm not a ""diehard"" Yankee fan, but there's no more point in watching this debacle #Yankees #Tigers #MLB So what else is on? LOL"
3,0,3,0,1,The homie reallly LOVE fat bitches &#128514;&#128557;&#128514; like in LOVE
3,0,3,0,1,@_Dbankss orr why? Thts my lor bae tho wyd why u fucking up hoe?
3,0,0,3,2,RT @Yankees: Time to bounce in the Bronx. #LetsGoYankees #Walkoff http://t.co/W5ATfRsLKK
6,1,5,0,1,Bitches rather be petty with his hoes instead of posting bail now that ah really fck em up.....psa
3,0,1,2,2,"""@MaxMayo77: http://t.co/3Jk4kR44X3"" a pissed lad past out. I would lick his dirty soles while he slept."
3,0,3,0,1,Jealous bitches smh
3,0,3,0,1,@Channnteeel pussy
3,2,1,0,0,@Woody_AFC @MrGAM3R49 @MANIAC3X fuck outta here faggot that wouldn't even be a fair
3,1,2,0,1,Wish I got hoes like James Bond
3,0,0,3,2,RT @Smart_Cookie86: If I had to pick a President of the Uncle Tom association I would pick Larry Elder.
3,0,3,0,1,These bitches dont want no boyfriend ... They want a pimp
3,0,3,0,1,Fuk dat bitch lol @dropolo voice
3,1,0,2,2,Someone tell @RSherman_25 his dreads are part of the uniform. I'd pull your hair too. Why are you trash talking? Cut your Doodoo braids.
3,0,0,3,2,Appropriately this guy wears the WV yellow Rick James on his face. @BarkingCarnival http://t.co/SGb9rYvdmb
3,0,3,0,1,RT @AllyMarshalll: Good riddance bitches &#128079;&#9996;&#128075; http://t.co/deQBjLFtxz
3,0,1,2,2,The Pirates have made the playoffs and the Yankees are out...hell has frozen over
6,0,6,0,1,I swear I needa go on n go back to the old me because bitches think its a game apparently. Let's be real !
3,1,0,2,2,@Chancellor_IV naw Bryan said it was trash hotel so we're staying somewhere else
3,0,3,0,1,Fuck is yaw sayin bitch my hood love me&#128677;&#9889;&#127984;
3,2,1,0,0,Fucking gook
3,0,0,3,2,That night cap nonsense is for the birds.!
6,2,4,0,1,"RT @Heissarcastic: Facebook needs these 3 buttons: ""Dislike"", ""Who cares"", ""Are you retarded?"""
3,0,3,0,1,RT @HG_Shit: Cause bitch I'm Tae !! #KingLute
3,0,3,0,1,RT @DFcuknAwesum: Kirk ain't nothing but a bitch #Love&amp;HipHop
3,2,1,0,0,Niggas sleepin with bitches grandmas??? Lmfao maury fake af
3,0,3,0,1,Why can't there be bomb single bitches available on tap?
3,0,3,0,1,&#128553;&#128553;&#128514;&#128557;&#128557; RT @Eb_Reloaded: @11wdNICK @KingHov1313 swear to God bitch I'm bouta delete my twitter account http://t.co/YPi52s4dtC
3,0,3,0,1,Yo bitch choosinh just Let''R
3,1,2,0,1,"RT @JoeCool_TVC: You can't be a hoe saying that another girls a hoe. Your both hoes, it cancels each other out."
3,0,3,0,1,RT @KINGTUNCHI_: Them same hoes that was fucking my Dick turn on me lol fuckem tho!
3,0,3,0,1,A tall tee n sum slouch shoes on I could've fucc yo bitch
3,0,3,0,1,That bitch mouth made the honor roll
3,0,0,3,2,"@mesmart029 Someone recently told me that a local yokel was going to ""use my twitter account to damage me"" so... Yeah."
3,0,3,0,1,"I aint mad at you, thats what hoes do"
3,0,0,3,2,Charlie Parr! Mountain top music Fest http://t.co/bG3UWdPZnn
6,0,6,0,1,"RT @jusangel_: Bae will always be bae . Even when bae is not bae, that's still bae . Therefore , you hoes can move around please &#9996;&#65039;"
3,0,3,0,1,This bitch!
6,0,1,5,2,"RT @DabGodBaby: But only BBC, the American version is trash"
3,0,3,0,1,I'm about to hit a bitch
3,0,3,0,1,@whatupag we've used the word cunt almost 3 times. Its beautiful.
3,0,2,1,1,In two months tho hoe
3,0,3,0,1,Nigga... lol IDK ..Elway trying to snatch everybody! RT @jwill252: Come on redskins shitttt go sign revis idk what he want lls
3,1,2,0,1,"RT @jenebooks: @WhistGoddess i was about to be like ""r u queer"" but c'mon Jen do u even need to ask"
3,0,3,0,1,Since you hoes wanna be childish &#128514;&#128514;&#128514; http://t.co/P6v3xPXnrZ
6,0,6,0,1,"' Nah I ain't no hoe niggah , no bitch niggah , rich Niggah with the shits Niggah Getchu chipped niggah ."
3,0,3,0,1,I see your tweets bitch! Lmfao RT @DaRealQuitaM: Von kick me to the curb I should call n curse her ass out
3,0,3,0,1,RT @KillAllSimps: That's logic for a hoe RT @_flowaaabomb: If you single nobody can tell you what to do right? Right?
3,0,3,0,1,@malachic1997 apparently this little pussy cant converse nevermind fight. Ive been blocked.
3,0,3,0,1,RT @Janasiaaa: shouldn't be at the club RT @PacDaGoat: I done been in the club and saw bitches reject a dance because they had a man. As &#8230;
3,0,3,0,1,""" bitch plz whatever """
3,0,0,3,2,"Sore Loser Charlie Crist Won&#8217;t Give Concession Speech, Calls For Recount http://t.co/MVhecTyUYs #tcot #pjnet"
3,0,1,2,2,"@jermhudson @lanele123 no way !! I'm on a ""dude you are fat"" diet Twinkies are the devil, so are breakfast tacos. I miss breakfast tacos&#128514;"
3,0,0,3,2,@thereal_EMandM texans d/st won't play the redskins again this year...
3,0,3,0,1,@O_beKnowing the bitch that took my phone
3,0,1,2,2,@section90sSoul yall defense too trash for that &#128514;&#128514;&#128514;
3,0,3,0,1,"RT @Dreams_N_Money: 1. For male rap artist if you not talking about money, bitches and drugs niggas don't wanna hear your shit"
3,0,2,1,1,RT @_Creamm_: @Victoria_Finae dont mind my retarded ass&#128514;
3,0,2,1,1,RT @lonlontheone_15: Smoke sum bitch
3,0,3,0,1,"RT @ReverendGrim: God bless those delusional bitches still trying to keep ""duck face"" alive."
3,0,3,0,1,RT @275YUNGSIMMIE: I flex it ain't no turning down ...take yo bitch fly out of town ... ...Macin stackin ready to get it crackin aint no tu&#8230;
3,0,3,0,1,Pie crust is trash. It be all flaky and dry and shit.
3,0,3,0,1,If you fuckin for your rent you a lame hoe
3,0,3,0,1,@Iemonaids right in the pussy
3,0,3,0,1,"@Hozay__ bitch shut up and hand me some of those flowers you selling, the light is about to change."
3,0,0,3,2,@ashley_smith20 colored contacts
3,0,3,0,1,RT @daylynnb_: and if you aint a hoe get up out my trap house!!!
3,0,2,1,1,"She suckin on my dick, cuz I'm a pretty bitch"
3,0,3,0,1,Used the dollar menu &amp; spectate at the mall. But now I'm buying that bitch out cause shit I want it all ....
3,0,3,0,1,Hey bitch..Adam showed up..bring more beer.
3,0,3,0,1,@KazAtta @thesaidabdi dont get it twisted said aint playin ny state of mind when bitches is around *clicks link*
3,0,3,0,1,Now my side bitch my main bitch cause my main bitch aint feelin me no moe
3,0,1,2,2,RT @hoadie1006: #vermontgirlsbelike my hick accent comes out when I get around my family #vermontproblems @THISISVT
3,0,0,3,2,I could go for a brownie right now
3,1,2,0,1,"I'll pay yall niggas to get lost, how much y'all hoe niggas gunna cost"
3,0,3,0,1,@KASSIGOD drinking away this stress. you got some new hoes for us?
3,0,3,0,1,RT @TheDrugTribe: mary isn't a backstabbing bitch that lies and deceives me
3,0,3,0,1,@harmon_lauren being a stupid bitch apparently.
3,1,2,0,1,Fucking douche bro. You're a fag
3,0,2,1,1,RT @Arie_0723: Don't be a bitch to someone who can out bitch you.
3,0,3,0,1,I just touched down on that pussy
3,0,0,3,2,"Dad brought me home a watermelon eegee, but I don't like it so it's going in the trash &#128686;"
3,2,1,0,0,RT @InkMyHoleBody: This nigga is a fuckin faggot https://t.co/e3m6tujnhF
3,1,2,0,1,Oh please. You're a pussy
3,2,1,0,0,"I wonder if that Latino strategy is working?@TPM: GOPer doubles down on ""wetbacks"" but backpedals on ""shoot on sight"" http://t.co/QwlPxxsUIb"
3,3,0,0,0,@FrankieJGrande fugly queer white trash
3,0,3,0,1,Why tf are girls still virgins ????????? We only got 2 months to live bitch you better throw that ass back
3,0,3,0,1,So scared for orientation.I hate meetin new people.They're gonna think im this quiet girl but really im the craziest bitch they'll ever meet
3,0,3,0,1,&#8220;@GoldieMack_: &#8220;@Treslyon: @GoldieMack_ shit where you from&#8221;
3,0,0,3,2,"The @Yankees are playing the @tigers tonight. In other words, I am not friends with @mtaraban."
3,1,2,0,1,&#8220;@MattieTrump97: Eat a lot of protein
3,2,1,0,0,If yer gonna continue to be a contrarian bitch... go die then. I've no time for such trifling!
3,0,3,0,1,Ronny kamm is a pussy
3,0,3,0,1,Chris a faggot
3,3,0,0,0,@kieffer_jason lmao why ur dad raised u to be a bitch made nigga
3,0,3,0,1,RT @ImEfficient: Talking about you hate men and done with penis but go get you a manly looking chick that uses a strap on bitch stfu
3,1,2,0,1,RT @LouieVRee: If that nigga Santa come to the hood niggas gonna rob him for his sleigh and his ho ho hoes
3,1,2,0,1,but I didnt get a write up thank god lol dumb white bitch
6,1,5,0,1,RT @IrregularGawd: Personality RT @LosBeOnIt: How fat bitches be in relationships before the pretty women? Let's see the answers lol &#128064;&#128064;&#128064;
3,0,3,0,1,RT @DBlockDeuce_215: It's about that time of the year when all the Lightskin hoes who swore they was brown cuz of they summer tan come back&#8230;
3,0,3,0,1,"@RenoConfession one time at band camp, I stuck a flute in my pussy"
6,0,6,0,1,RT @Quis_2TurntUp: &#8220;@1017_Sqquad: Iont got no type&#8221;bad bitches is the only thing that I like &#128111;&#128131;&#128131;
3,0,0,3,2,"@forgivemehera also, I put 'i touch myself' on a ned/chuck mix."
6,1,5,0,1,Most niggas send hate thru the bitches
3,1,2,0,1,"""They have some ghetto ass bands"" * gets snuck* &#128514;&#128514;&#128514;&#128514;"
3,0,2,1,1,",@musclezauber why not animal crackers. i want animal crackers shaped like master chiefs and trolls and gun's and shit, thatd rule."
3,0,3,0,1,It's Friday bitch!! http://t.co/9Taj2OUsCc
3,1,2,0,1,"RT @RappersSaid: When Tyler the Creator said ""Rape a pregnant bitch and tell my friends I had a threesome"" http://t.co/mBrtvpUaKt"
3,0,3,0,1,Idc about none of these bitches .
3,0,3,0,1,That awkward moment when a hoe says she's not a hoe.
3,0,1,2,2,"@OG_Dakota lemme just throw a 302 in it, how's the tranny??"
3,0,0,3,2,one man's trash is another man's wife.
3,0,2,1,1,Reading the ut sexual assault case takes me back 2 college.I'll never forget D Walk would say dont run trains on them hoes.Straight Trouble
3,0,3,0,1,RT @Liddo_Shorty10: I can't fuck with sentimental bitches.
3,0,3,0,1,"@Italian_Montana @CarterBoy_leake ant is a pussy man, don't make me pull up the pic!!!!"
3,0,3,0,1,@_YdotM really thou im looking like Hulk Hogan in this bitch
3,0,3,0,1,@DopeKorean lmfao putting on for twitter i see fat bitch
3,1,2,0,1,RT @NatexHate: Fuck that cock sucker hulk hogan put him in camel clutch fuck his ass make him humble #bitch
3,0,3,0,1,RT @EastSideKris: I'm glad Bey did this shit....now some of u bitches wit that one shaved side can go ahead &amp; shave that other side too....
3,0,0,3,2,@Linnlondon1 I want some clams on the half shell :-) http://t.co/uFCAjNNQTZ
3,3,0,0,0,@JadeGreenleaf fag
3,0,3,0,1,How can a woman take u serious when you're a hoe? I mean RT @BamaboyyBrandon: How can a nigga take you serious when youre a hoe? Lol like..
3,0,3,0,1,"""She was a bitch anyway"""
3,0,3,0,1,"RT @chels_phelps: Crafty bitches ""@CheatsOfLife: best way to cheat on a test http://t.co/vGneo1T1tG"""
3,1,2,0,1,@robfee What a #narcissistic cunt he is.
3,0,3,0,1,I'm in this hoe tripppped out people be wildin
3,0,3,0,1,@ChristyMack fugly bitch john will dump ur ratchet ass
3,0,3,0,1,Lmaoo &#8220;@LeanandCuisine: Bad bitch: Can I hit that?
3,3,0,0,0,The blacks in #California are typical niggers.
3,0,3,0,1,This bitch got zero kills and yet got a legendary enngram?!!!! What the absolute fuck?!!!!!
3,0,3,0,1,@afuehring is little bitch an emotion? Cuz I'm feeling it..
3,0,3,0,1,@GoHard_Brown @your_daddy9 &amp; xavier you bitch.
3,1,2,0,1,Shoot you and your shorty bitch
3,0,3,0,1,Facebook is for fags
3,0,0,3,2,Big night of &#127936; #hoosiers #iubb #big10 and #pacers #nba #indiana #hoosierstate #paulgeorge #codyzeller http://t.co/UFmje1gk
3,1,2,0,1,Show last night was badass thanks to everyone who came out. If you didn't come out you're a retard. Unless you were at Cock Sparrer
3,2,1,0,0,@IamShady_ that's not even a real word! Must have hit a blunt and started making up shit with your nigger ass lol
3,0,3,0,1,@MrMason251 Grade A pussy.
3,0,3,0,1,This bitch @DaRealQuitaM just called me a bougie whore tho! &#128514;&#128514;&#128514;&#128514; ol angry bird! Lmao
3,1,2,0,1,One of the BIGGEST ARRESTS of a #loudmouth #bitch was #ReeseWitherspoon. SO WHY A #Nigga gotta act like a #whitebitch to the #POLICE?
3,0,3,0,1,"RT @chaserojo: ""boys are dumb! no faith in boys!!"" bitch shut up youre in high school acting like this is going to be the person you marry.&#8230;"
3,0,0,3,2,"Y'all saw how mad that little chunky boy was? He wouldn't even let his dad touch him, bruh lmao"
6,1,5,0,1,Okay so I know I'm like ten years late but I freaking HATE Ana Sofia from Lost fuck that dumb bitch wtf is her problem &#128545;&#128545;&#128545;&#128545;&#128545;&#128545;&#128545;&#128545;&#128545;&#128545;&#128545;
3,0,3,0,1,RT @fLEXing_: &#8220;@vivalaleexx: Sitting pretty makes bitches mad &#128129;&#128081;&#8221;pretty much
3,0,3,0,1,"RT @UrbanEngIish: ""SHARKEISHA'D"" = To lose one's face due to the brute force of a knockout punch. ""Dat bitch got sharkeisha'd"""
3,0,3,0,1,"So I swore my school was closed, but that bitch is open and I'm home &#128514;"
3,0,3,0,1,"Irritating reading ppl bitch abt smthng, yet offer shit for evidence to even support their slant. Simply complaining is the easy part."
4,0,4,0,1,"""@_GeeWillikers_: Ass slapping is one the greatest things. Haha. &#128527;"" I slapped a girl on the ass. . She got mad I aint get pussy for a week"
3,0,3,0,1,Marilyn Monroe set the standard for what hoes can achieve in society
3,0,3,0,1,"The bitch official though, dick harder than a missile yo"
3,0,3,0,1,"RT @youngscrap: I sent that bitch a smiley face, bitches love smiley faces &#128515;"
3,0,3,0,1,"&#8220;@BasedChasen: Grandmas always b asking you ""Do you have a girlfriend???"" No....I got hoes tf you mean&#8221; real shit."
3,1,2,0,1,@allyssasss I was a fag back then
3,0,3,0,1,I ain't fenna be locked up 23 hours a day beating my dick for a guilty MF who out here fucking free world pussy.
3,0,3,0,1,RT @MurderHigashi: I cannot be worried 'bout no bitch.
3,1,2,0,1,"RT @_TrackStar15: I hate ""I'm my own WCW"" ass bitches &#58382;"
3,2,0,1,0,looking like a hillbilly and not matching is what I do best goodnight losers http://t.co/caGHBLKAXQ
3,0,3,0,1,RT @woohdakidd_74: &#8220;@Shane_A1: Am I wrong fa laughin at dem niccas on 1st 48 who be cryin n the interrogation room&#8221;hell noooo&#128514;&#128514;&#128514;pussy ass n&#8230;
3,0,3,0,1,RT @Kalay_Laay: A side bitch made this &#128514;&#128514;&#128514; http://t.co/w1JeT7EybJ
3,0,0,3,2,Country Bumpkin Word of the Day : yokel http://t.co/aBpFZgJU
3,0,3,0,1,RT @adviljr: &#8220;@antsyinpantsy: @adviljr you have no sense of humor so back off their backs&#8221;
3,0,3,0,1,@cristiannt_ nigga you beat who ass bitch we've never even fought so u need to stop making up shit and bring yo ass with them
3,3,0,0,0,People on this site are fucking retarded sometimes
3,0,3,0,1,RT @ImaSavageBruh: bitch got me acting crazy as hell lately
3,0,0,3,2,"@britty_jurgens a music suggestion is ""lil spook"""
3,0,2,1,1,"RT @alightskinnigga: When a girl bring up my ""hoes"" when I'm trying to get to know her.. http://t.co/yNBWcmgeb4"
3,0,3,0,1,I got hoes. I got hoes. I got hoes. I got hoes.
3,0,2,1,1,BREATHE! RT @thaELLEword_: You are going to kill yourself if you don't EXHALE! RT @BrokeHomieLyn: Killin you hoes http://t.co/QZc87drA9a&#8221;
6,0,5,1,1,Get on your shit hoe.
6,0,1,5,2,RT @CP24: Reports say female victim was shot while waiting for an Oreo McFlurry
6,0,5,1,1,really tired of having a constant bitch face
3,1,2,0,1,@anandpradhan @kavita_krishnan funny to read retard liberal tweets. But Anand u didn't delete salwar tweet. Anyway say hi to #DigVijaySingh
3,0,0,3,2,"Yep, sources confirmed it. That Iggy concert last night was trash"
3,1,2,0,1,@RBesofii
3,0,3,0,1,RT @maNIJEEtwa_: you can ride for a nigga ya whole life new pussy fuck it up in one night
3,3,0,0,0,"Fat ass inbred rednecks like Paula Deen are breed that are going extinct. I mean look at that woman, I would hate to be her scale."
3,0,2,1,1,"Will&#8217;s tweets scream &#8220;Look at me, I&#8217;m a pansy ass bitch&#8221; like 5 of the 7 days in a week."
3,0,2,1,1,got like 4 hoes in my low pro
3,0,2,1,1,RT @nofuks007: Shout out to all the bitches who don't have to dress half naked to get a mans &#128694;attention. Stay classy!
3,0,3,0,1,@baaaabyshaaaay_ My niggah!!
3,0,3,0,1,Thick bitch on here tried to front on me earlier...
3,2,1,0,0,@dish_answers
3,0,3,0,1,@TurdJerguson @Liquorface
3,0,3,0,1,Poppy give me discou.. bitch i get it for the lowwwww!!!
3,0,3,0,1,"A boyfriend who tells hoes and sluts, ""I have a girlfriend"", is a real ass dude."
3,0,3,0,1,Didn't know Alberta had Brampton bitches #flourish
3,0,3,0,1,Y'all hoes nasty letting any body hit an eat y'all out smh
3,1,2,0,1,"""U got my 200K bitch nigga""--Al Haymon to Antonio Tarver"
3,0,3,0,1,Catch up with the Lingo itty bitty bitch
3,0,3,0,1,RT @DopeChubbyChick: You was so eager to be a hoe you didn't even read RT @JennnVeee: &#8220;@DJZeeti: twitpic a selfie wearing a leotard&#8221; http:/&#8230;
3,0,3,0,1,"RT @LuvPug: If you don't RT cat tweets, you're just a big pussy"
3,0,3,0,1,"' Entertain a flirtin ass niggah if you want too , That's gon be yo niggah friendly ass . &#9996;&#65039;"
3,1,2,0,1,One of the best #faggot #jokes of all time is #StephenKing's #IT&gt; Anybody seen that #faggot lately? I believe he's dressed as #Obama .
9,0,9,0,1,Pull up on my ex make that bitch mad
3,0,3,0,1,I'm a purple headed cunt
3,0,3,0,1,@_BeautifulKeezy bitch I died when I read that.
3,0,2,1,1,"You ever randomly woke up and ya bitch standing over you, just staring."
4,0,4,0,1,RT @Sir_Strange: Sorry that I came into your pussy like a wrecking ball.
3,0,3,0,1,RT @ispeak_sarcasms: the nigga with no future always have the most hoes..
3,0,3,0,1,"RT @_PimpC: ""@koniikonn: &#8220;@_Weezy_Wee: If you ask me, every bitch gay&#8221; not me I'm all sexual"" Wtf is all sexual? If you don't mind me asking"
3,2,1,0,0,"Jason admitted you're a stuck up bitch lol, which you are. Think you're so much better than everycunt, naaaaa"
3,0,0,3,2,@monicawarren16 #pumprules is on bravo...quality trash
3,0,3,0,1,A bad bitch who knows her cars&gt;&gt;&gt;
3,0,3,0,1,RT @Mr_JSmart24: So damn sick of that damn lie smfh&#8230;Skinny girls look like iphones when they jeans come off bitch stop lying!!
3,0,3,0,1,I tell the baddest hoes beat it unless you gone strip &#128513;
3,0,3,0,1,RT @LilReese300: Bitches gone do wat bitches do...#300
3,1,2,0,1,RT @jaylynnkoliba: @TonyJRodriguez imma get my crew on dis fuckin fag #3hunnad real talk nigga #turn up
3,0,3,0,1,@justezzzee your so fucking ignorant u talk a lot shit for someone who don't wanna fight your mama raised u as bitch huh?
3,1,2,0,1,I impress da young white girl next doe by taking out my giant negro thang and usin it to flip da hamburgers for da #KoolQueefTribute&#160;
3,0,3,0,1,Last time I wore the shirt I'm wearing today I fought a bitch. ( on no ratchet bs) but she yanked the fuck outta this shirt.
3,0,0,3,2,Get two birds stoned at one time.
3,0,3,0,1,But I can't get her to smoke unless I bitch about it. The struggles of having a girl who doesn't... In actuality it's a great thing.
3,0,1,2,2,"RT @ohmyev: it's crazy. if a female cheats, it's so wrong. she's every type of hoe there is but if a guy cheats, there's all these justific&#8230;"
3,0,2,1,1,@Herman_NYRBlog he's am has no clue #heeb
3,2,1,0,0,"@mike_ray7 congratulations, you are officially fucking retarded."
3,0,3,0,1,These girls going to school with all kind og aquatic colored weaves in their head.Fuck going on?
3,0,2,1,1,@HollygroveShawn word!! school flow on a dumb hoe...
6,0,6,0,1,RT @itsjustshay__: i swear i care bout everything but these bitches &#128080;
3,3,0,0,0,RT @harmon_lauren: Jenna's a faggot
3,0,0,3,2,85 species of birds reported in Chesterfield for the Great Backyard Bird Count. How many in your area? http://t.co/VIWMjjJxOT
3,0,3,0,1,RT @vincestaples: In other news your bitch cook for me.
3,0,0,3,2,A new way to look for aliens: find their trash &#8594; http://t.co/n9CTH1jrda
3,0,3,0,1,RT @VictorSmith90: Fresh out of jail and I got my chopper bitches be like Vick your number 1 like the BK whopper
3,0,3,0,1,RT @LeanandCuisine: bitch where you see a Katy or perry in that pic RT&#8220;@howlilwayneraps: Katy Perry is so fit &#128525;&#128525; http://t.co/cyclTBkPNO&#8221;
3,1,0,2,2,"&#8220;@AshlynWynns: I'm a ""mud shark"" because I have black friends. Makes perfect sense. &#128514;&#128557;&#128514;&#128557; #idiotic&#8221; @"
6,0,6,0,1,@xDSmooth follow back bitch
3,1,2,0,1,""" we dont trust these niggas all these bitches """
3,0,2,1,1,Leave a nicca traumatized
3,2,1,0,0,Good Morning to lightskin dyke bitches with Steven Segal ponytails.
3,0,3,0,1,RT @ParisBurned: When they run out of dick inside the pussy. RT @VizyIsIgnant: How do straight dudes know if their dick is small??
3,0,3,0,1,I feel like a swag fag w this shirt lmao http://t.co/P2x2qbejOh
3,0,3,0,1,This is great RT @AmPowerBlog loser &amp; coward @MikePrysner grabbed my iPhone and threw it in the street. He's a pussy. http://t.co/CVUbLNgXKj
3,0,3,0,1,"Dear Von Miller, Karmas a bitch."
3,0,3,0,1,RT @My_Bird_Tweets: &#8220;@AdrienBroner: Two bad bitches giving me head at the same dam time...... #oldPICS LOL http://t.co/txxidDOHd2&#8221;&#128514;&#128514;&#128514;&#128514;&#128514; aww&#8230;
3,0,3,0,1,RT @PacmanJonez: @HarlanCoben @taylor_TM @PhilWOTG they are both bitches.
3,0,3,0,1,@KoiyaThePerv exactly so tweet some other shit fuck all that don't be like everybody this ain't monkey see monkey do koiya
